ilceler,ahsap,karkas,beton,celik,diger,toplam
SELÇUKLU,6,2,112,2,644,766
MERAM,52,8,115,1,730,906
KARATAY,55,2,98,2,822,979
SANCAK,1,0,38,0,324,363
AKÖREN,28,0,0,0,41,69
AKŞEHİR,37,0,16,1,462,516
ALTINEKİN,0,0,8,0,76,84
BEYŞEHİR,9,5,24,0,530,568
BOZKIR,0,0,0,0,60,60
CİHANBEYLİ,0,10,3,1,132,146
ÇELTİK,0,0,0,0,105,105
ÇUMRA,0,5,8,0,324,337
DERBENT,0,1,0,0,21,22
DEREBUCAK,1,0,0,0,10,11
DOĞANHİSAR,120,0,0,0,0,120
EMİRGAZİ,0,0,0,0,76,76
EREĞLİ,37,0,20,1,594,652
GÜNEYSINIR,1,2,1,1,56,61
HADİM,4,0,0,1,38,43
HÜYÜK,1,1,1,0,236,239
ILGIN,3,9,22,1,168,203
KADINHANI,206,0,0,0,23,229
KARAPINAR,0,0,15,1,414,430
KULU,0,0,28,0,153,181
SARAYÖNÜ,1,1,0,0,159,161
SEYDİŞEHİR,10,10,13,0,330,363
TAŞKENT,3,2,0,0,40,45
YALIHÜYÜK,52,0,0,0,11,63
YUNAK,0,1,1,0,205,207
