id,emekli_lokali_adı,enlem,boylam,aylik_kullanici_sayisi,yillik_kullanici_sayisi,Çay vb. içecekler,Gazete,Televizyon,Emeklilerin_vakit_geçirebileceği_bir_tesis
1,AKINCILAR EMEKLİLER LOKALİ,37.9023,32.46603,2400,28000,Evet,Evet,Evet,Evet
2,AKŞEMSETTİN EMEKLİ LOKALİ,37.89372,32.45704,380,4500,Evet,Evet,Evet,Evet
3,DUMLUPINAR EMEKLİLER LOKALİ,37.98551,32.63788,1680,20000,Evet,Evet,Evet,Evet
4,ESENLER EMEKLİLER LOKALİ,37.89446,32.47191,2050,24500,Evet,Evet,Evet,Evet
5,FATİH EMEKLİ LOKALİ,37.89809,32.49179,400,4800,Evet,Evet,Evet,Evet
6,GAZALYA HATUN MAHALLE KONAĞI EMEKLİLER LOKALİ,37.94559,32.5,2200,26400,Evet,Evet,Evet,Evet
7,GEVHER HATUN EMEKLİ LOKALİ,37.90716,32.4638,480,5760,Evet,Evet,Evet,Evet
8,KOSOVA EMEKLİ LOKALİ,37.97655,32.52347,1900,22800,Evet,Evet,Evet,Evet
9,MAHPERİ HATUN EMEKLİ LOKALİ,37.89296,32.4865,400,4800,Evet,Evet,Evet,Evet
10,MEHMET AKİF EMEKLİ LOKALİ,37.90761,32.47597,2100,25900,Evet,Evet,Evet,Evet
11,MUSALLA BAĞLARI EMEKLİ LOKALİ,37.89214,32.49967,720,8600,Evet,Evet,Evet,Evet
12,SAKARYA EMEKLİLER LOKALİ,37.91626,32.50089,1440,17280,Evet,Evet,Evet,Evet
13,SELÇUKİ HATUN EMEKLİLER LOKALİ,37.95875,32.52459,600,7200,Evet,Evet,Evet,Evet
14,YAZIR EMEKLİLER LOKALİ,37.96022,32.50191,1920,25000,Evet,Evet,Evet,Evet
15,MALAZGİRT EMEKLİLER LOKALİ,37.93247,32.49936,400,4800,Evet,Evet,Evet,Evet
16,BEYHEKİM EMEKLİLER LOKALİ,37.98445,32.49356,360,4320,Evet,Evet,Evet,Evet
17,BUHARA EMEKLİLER LOKALİ,37.93556,32.49204,700,8500,Evet,Evet,Evet,Evet
