,baslangic_tarihi,bitis_tarihi,yil,kursiyer_sayisi
0,2004-01-01,2004-12-31,2004,3801
1,2005-01-01,2005-12-31,2005,5558
2,2006-01-01,2006-12-31,2006,12837
3,2007-01-01,2007-12-31,2007,16634
4,2008-01-01,2008-12-31,2008,18304
5,2009-01-01,2009-12-31,2009,14703
6,2010-01-01,2010-12-31,2010,15532
7,2011-01-01,2011-12-31,2011,25426
8,2012-01-01,2012-12-31,2012,29195
9,2013-01-01,2013-12-31,2013,36779
10,2014-01-01,2014-12-31,2014,56972
11,2015-01-01,2015-12-31,2015,80099
12,2016-01-01,2016-12-31,2016,95384
13,2017-01-01,2017-12-31,2017,100903
14,2018-01-01,2018-12-31,2018,142424
15,2019-01-01,2019-12-31,2019,152025
16,2020-01-01,2020-12-31,2020,93017
17,2021-01-01,2021-12-31,2021,13994
18,2004-01-01,2021-12-31,TOPLAM,913587
