tarih;gun;saat;oyun;doluluk_orani;izleyici_sayisi
24.10.2018;Salı;20.0;Abdülhamid Ateş Çemberi;100%;751
23.10.2018;Çarşamba;20.0;Abdülhamid Ateş Çemberi;96%;745
29.10.2018;Pazartesi;20.0;Asım Bir Varoluş Mücadelesi;98%;748
30.10.2018;Salı;20.0;Asım Bir Varoluş Mücadelesi;76%;590
05.11.2018;Pazartesi;20.0;Bir Yunus Hikayesi;89%;675
06.11.2018;Salı;20.0;Bir Yunus Hikayesi;61%;469
12.11.2018;Pazartesi;20.0;Abdülhamid Ateş Çemberi;100%;769
19.11.2018;Pazartesi;20.0;Asım Bir Varoluş Mücadelesi;43%;331
20.11.2018;Salı;20.0;Asım Bir Varoluş Mücadelesi;58%;437
27.11.2018;Salı;19.3;Bir Yunus Hikayesi;57%;432
28.11.2018;Çarşamba;20.0;Bir Yunus Hikayesi;51%;389
03.12.2018;Pazartesi;20.0;Abdülhamid Ateş Çemberi;100%;752
04.12.2018;Salı;20.0;Abdülhamid Ateş Çemberi;100%;759
10.12.2018;Pazartesi;20.0;Asım Bir Varoluş Mücadelesi;64%;488
11.12.2018;Salı;20.0;Asım Bir Varoluş Mücadelesi;72%;544
24.12.2018;Pazartesi;20.0;Bir Yunus Hikayesi;58%;438
25.12.2018;Salı;20.0;Bir Yunus Hikayesi;49%;374
27.12. 2018;Perşembe;19.3;Asım Bir Varoluş Mücadelesi;98%;746
